x,y,vessel_count
627670.4331893444,3428530.905745316,226
627670.4331893444,3428605.905745316,160
627670.4331893444,3428680.905745316,120
627670.4331893444,3428755.905745316,62
627670.4331893444,3428830.905745316,40
627670.4331893444,3428905.905745316,40
627670.4331893444,3428980.905745316,28
627670.4331893444,3429055.905745316,51
627670.4331893444,3429130.905745316,58
627670.4331893444,3429205.905745316,23
627670.4331893444,3429280.905745316,5
627745.4331893444,3424930.905745316,6
627745.4331893444,3425005.905745316,11
627745.4331893444,3425080.905745316,20
627745.4331893444,3425155.905745316,28
627745.4331893444,3425230.905745316,42
627745.4331893444,3425305.905745316,62
627745.4331893444,3425380.905745316,87
627745.4331893444,3425455.905745316,106
627745.4331893444,3425530.905745316,122
627745.4331893444,3425605.905745316,125
627745.4331893444,3425680.905745316,111
627745.4331893444,3425755.905745316,114
627745.4331893444,3425830.905745316,125
627745.4331893444,3425905.905745316,105
627745.4331893444,3425980.905745316,87
627745.4331893444,3426055.905745316,98
627745.4331893444,3426130.905745316,59
627745.4331893444,3426205.905745316,57
627745.4331893444,3426280.905745316,46
627745.4331893444,3426355.905745316,46
627745.4331893444,3426430.905745316,38
627745.4331893444,3426505.905745316,36
627745.4331893444,3426580.905745316,33
627745.4331893444,3426655.905745316,38
627745.4331893444,3426730.905745316,23
627745.4331893444,3426805.905745316,19
627745.4331893444,3426880.905745316,27
627745.4331893444,3426955.905745316,14
627745.4331893444,3427030.905745316,8
627745.4331893444,3427105.905745316,5
627745.4331893444,3427180.905745316,3
627745.4331893444,3427255.905745316,1
627745.4331893444,3427330.905745316,1
627745.4331893444,3427480.905745316,1
627745.4331893444,3427555.905745316,1
627745.4331893444,3427780.905745316,1
627745.4331893444,3427855.905745316,2
627745.4331893444,3427930.905745316,2
627745.4331893444,3428005.905745316,2
627745.4331893444,3428080.905745316,4
627745.4331893444,3428155.905745316,11
627745.4331893444,3428230.905745316,10
627745.4331893444,3428305.905745316,17
627745.4331893444,3428380.905745316,41
627745.4331893444,3428455.905745316,71
627745.4331893444,3428530.905745316,103
627745.4331893444,3428605.905745316,156
627745.4331893444,3428680.905745316,206
627745.4331893444,3428755.905745316,180
627745.4331893444,3428830.905745316,135
627745.4331893444,3428905.905745316,83
627745.4331893444,3428980.905745316,58
627745.4331893444,3429055.905745316,40
627745.4331893444,3429130.905745316,39
627745.4331893444,3429205.905745316,33
627745.4331893444,3429280.905745316,4
627820.4331893444,3424555.905745316,2
627820.4331893444,3424630.905745316,2
627820.4331893444,3424705.905745316,5
627820.4331893444,3424780.905745316,10
627820.4331893444,3424855.905745316,22
627820.4331893444,3424930.905745316,20
627820.4331893444,3425005.905745316,30
627820.4331893444,3425080.905745316,53
627820.4331893444,3425155.905745316,88
627820.4331893444,3425230.905745316,119
627820.4331893444,3425305.905745316,109
627820.4331893444,3425380.905745316,118
627820.4331893444,3425455.905745316,113
627820.4331893444,3425530.905745316,94
627820.4331893444,3425605.905745316,105
627820.4331893444,3425680.905745316,92
627820.4331893444,3425755.905745316,78
627820.4331893444,3425830.905745316,50
627820.4331893444,3425905.905745316,54
627820.4331893444,3425980.905745316,39
627820.4331893444,3426055.905745316,27
627820.4331893444,3426130.905745316,26
627820.4331893444,3426205.905745316,24
627820.4331893444,3426280.905745316,9
627820.4331893444,3426355.905745316,19
627820.4331893444,3426430.905745316,13
627820.4331893444,3426505.905745316,14
627820.4331893444,3426580.905745316,19
627820.4331893444,3426655.905745316,20
627820.4331893444,3426730.905745316,15
627820.4331893444,3426805.905745316,17
627820.4331893444,3426880.905745316,18
627820.4331893444,3426955.905745316,16
627820.4331893444,3427030.905745316,8
627820.4331893444,3427105.905745316,6
627820.4331893444,3427180.905745316,1
627820.4331893444,3427255.905745316,1
